Question ID,Sentence Position,Answer,QANTA Scores
163847,1,council_of_constance,"council_of_constance:0.657971450034, yuan_dynasty:0.0188791692336, john_wycliffe:0.0119606341836, teutonic_knights:0.0109287183354, diet_of_worms:0.00931728588502, council_of_chalcedon:0.00791734564968, ming_dynasty:0.00789572386751, martin_luther:0.00746853141423, diocletian:0.00546235194107, james_g._blaine:0.00532961036712, benjamin_harrison:0.00496692826956, boston_massacre:0.00484329792227, thomas_paine:0.00457372894294, battle_of_hastings:0.00419659706316, john_adams:0.00391770854479, council_of_trent:0.00378909262339, samuel_adams:0.00328886842019, william_lloyd_garrison:0.00326902471073, john_hay:0.00322190651536, george_washington:0.0031418609469"
165933,2,battle_of_lepanto,"battle_of_lepanto:0.471821803743, war_of_the_spanish_succession:0.0210818272566, battle_of_chancellorsville:0.0191361163362, battle_of_bannockburn:0.0162514703573, peloponnesian_war:0.0130461500873, battle_of_agincourt:0.0112027646222, first_crusade:0.00898537242066, third_crusade:0.00797904355933, battle_of_bosworth_field:0.00772767037108, peace_of_westphalia:0.00674361117244, great_northern_war:0.00671950572825, william_penn:0.00621805042057, congress_of_berlin:0.00616886608545, battle_of_austerlitz:0.00615584103588, st._bartholomew's_day_massacre:0.00608253788367, umayyad_caliphate:0.0057666370094, battle_of_culloden:0.00546135369852, battle_of_hastings:0.00518613077287, battle_of_caporetto:0.0051132062006, battle_of_trafalgar:0.00503715170811"
165933,3,battle_of_lepanto,"battle_of_lepanto:0.579555554409, war_of_the_spanish_succession:0.0205452040853, battle_of_chancellorsville:0.014727560757, battle_of_bannockburn:0.011729490269, battle_of_agincourt:0.00882966568425, great_northern_war:0.00879382497724, peloponnesian_war:0.00862663675234, peace_of_westphalia:0.0063293562008, umayyad_caliphate:0.00610274147288, battle_of_trafalgar:0.00566378549636, first_crusade:0.00558121522527, battle_of_actium:0.00538151308188, battle_of_austerlitz:0.00529955231435, congress_of_berlin:0.00505149035596, william_penn:0.00492270677286, third_crusade:0.00449274476742, battle_of_culloden:0.00432958868205, portugal:0.00411772743337, battle_of_bosworth_field:0.00409394159223, suleiman_the_magnificent:0.00402282032172"
108592,1,tecumseh,"tecumseh:0.0673841346827, hannibal:0.044200052574, battle_of_salamis:0.0169126354628, marcus_licinius_crassus:0.0125288910707, roger_williams_(theologian):0.0117801398938, claudius:0.0109278846578, truman_doctrine:0.0106508713807, charles_martel:0.0100212236764, barry_goldwater:0.00977941584413, carthage:0.0090186758824, benito_mussolini:0.00880615274391, adolf_eichmann:0.00813995067002, attila:0.00789043596945, atahualpa:0.00786071253362, teapot_dome_scandal:0.00784765302112, dawes_plan:0.00726432868517, thomas_hart_benton_(politician):0.00693236662696, gaius_marius:0.00683438033963, william_tecumseh_sherman:0.00660065113535, gang_of_four:0.00653174119874"
108592,2,tecumseh,"tecumseh:0.190690211139, claudius:0.0256188417969, hannibal:0.0187443681023, roger_williams_(theologian):0.0102950757545, battle_of_the_thames:0.00960773392103, truman_doctrine:0.00907760544351, atahualpa:0.00882179755991, pancho_villa:0.00864229375549, attila:0.00844508695612, emilio_aguinaldo:0.00839864841809, darius_i:0.00794248020597, maria_theresa:0.00758758480896, adolf_eichmann:0.00713262999796, teapot_dome_scandal:0.00669859229102, marcus_licinius_crassus:0.00661795446666, barry_goldwater:0.00660997540086, vandals:0.00648247438618, william_henry_harrison:0.00636511306276, robert_walpole:0.00636405703961, dawes_plan:0.00607109224273"
2101,0,mapp_v._ohio,"mapp_v._ohio:0.663002559712, schenck_v._united_states:0.0708979903654, george_b._mcclellan:0.0128693541045, roger_b._taney:0.0118341945735, earl_warren:0.0110416048891, treaty_of_waitangi:0.0110335830569, jay_treaty:0.00841795222252, eleanor_roosevelt:0.00650038817371, clayton_antitrust_act:0.00622912071993, hubert_humphrey:0.00584720146806, charles_evans_hughes:0.00560912991587, louis_brandeis:0.00502034262869, salmon_p._chase:0.00499264343883, samuel_gompers:0.00498840447116, manifest_destiny:0.00462317495403, muhammad_ali_jinnah:0.00410860812102, john_adams:0.00395823935247, stephen_a._douglas:0.00282175933076, lateran_treaty:0.00277847363947, labour_party_(uk):0.00273017058542"
2101,1,mapp_v._ohio,"mapp_v._ohio:0.488179443897, schenck_v._united_states:0.0398575436019, george_b._mcclellan:0.0314881031889, clayton_antitrust_act:0.0140832779257, treaty_of_waitangi:0.0118357751224, charles_evans_hughes:0.0112156715638, samuel_gompers:0.0104259430797, earl_warren:0.00984993147768, stephen_a._douglas:0.00900701938296, muhammad_ali_jinnah:0.00892737026067, roger_b._taney:0.00858003370444, louis_brandeis:0.00821731943173, plessy_v._ferguson:0.0078313821187, sherman_antitrust_act:0.00714977732211, john_adams:0.00657164180071, cherokee:0.00612883123238, salmon_p._chase:0.00559731781733, jay_treaty:0.00536256444374, hubert_humphrey:0.0049426437096, woodrow_wilson:0.00475805405318"
2101,2,mapp_v._ohio,"mapp_v._ohio:0.525142314516, george_b._mcclellan:0.0226287188775, schenck_v._united_states:0.021596620973, stephen_a._douglas:0.0115547238259, treaty_of_waitangi:0.0110676652664, muhammad_ali_jinnah:0.00974185937095, clayton_antitrust_act:0.00951848012512, roger_b._taney:0.00927514232369, john_adams:0.00779988729793, samuel_gompers:0.00751990317768, earl_warren:0.00741096470666, charles_evans_hughes:0.00671503594198, plessy_v._ferguson:0.00665034195208, louis_brandeis:0.0058271138288, salmon_p._chase:0.00527147303082, lateran_treaty:0.0047928387328, cherokee:0.00475443638805, albany_congress:0.00441663621769, jay_treaty:0.00440841092264, sherman_antitrust_act:0.00435279693873"
2101,3,mapp_v._ohio,"mapp_v._ohio:0.37694338333, stephen_a._douglas:0.0210531302295, schenck_v._united_states:0.0194033345341, george_b._mcclellan:0.0179299508363, charles_evans_hughes:0.0163239293706, earl_warren:0.0137542310968, clayton_antitrust_act:0.0134998069026, roger_b._taney:0.0127456636238, louis_brandeis:0.00947919233675, plessy_v._ferguson:0.00931656269725, treaty_of_waitangi:0.00907627329001, salmon_p._chase:0.00892883880544, muhammad_ali_jinnah:0.00825836490731, john_adams:0.00791992574402, samuel_gompers:0.0071142439134, sherman_antitrust_act:0.00624878829472, thomas_jefferson:0.00541880290374, cherokee:0.00533416894974, labour_party_(uk):0.00520318415364, albany_congress:0.00514553573249"
2104,1,bonus_army,"bonus_army:0.0225854932494, teapot_dome_scandal:0.0163271359251, whig_party_(united_states):0.0130118638625, kitchen_cabinet:0.0103156458217, daniel_boone:0.00985331305338, treaty_of_brest-litovsk:0.0095047180898, coxey's_army:0.00850838424719, peterloo_massacre:0.00834787505103, stephen_a._douglas:0.00740005703422, paris_commune:0.00667635974144, ghana:0.00659797366745, battle_of_bunker_hill:0.0065030154691, caligula:0.00640853912223, henry_cabot_lodge,_jr.:0.00639991960894, rough_riders:0.00632138397709, night_of_the_long_knives:0.00626093376878, bernardo_o'higgins:0.00611835851482, john_wilkes_booth:0.00593897724185, george_washington:0.00592109206048, ivan_the_terrible:0.00563736291929"
